id_dmcl;qt_banr;qt_atmv;qt_moto;tipo_fonte_agua;tipo_pvmt_rua;nu_mrdr;tipo_dmcl;cor_pdmn_prde_extn;ornt_mria_jnla;jnla_vras_prde;ar_dmcl_m2;mtrl_pdmn_prde_extn;mtrl_pdmn_tlhd;orig_ee_dmcl;fonte_prop_gerc_ee;tipo_atvd_dmcl
85;1;1;2;Rede geral de distribuicao;Asfaltada ou Pavimentada;3;Casa;Claro;Leste;Sim;48.0;Alvenaria com revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
86;1;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;1;Casa;Médio;Leste;Não;18.0;Alvenaria com revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
87;2;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;8;Casa;Claro;Leste;Não;50.0;Alvenaria sem revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
88;1;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;4;Casa;Médio;Norte;Não;40.0;Alvenaria sem revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
89;1;1;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;3;Casa;Claro;Norte;Não;50.0;Alvenaria sem revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
90;1;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;3;Casa;Claro;Norte;Sim;40.0;Alvenaria com revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
91;1;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;2;Casa;Claro;Leste;Sim;50.0;Alvenaria com revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
92;1;1;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;3;Casa;Claro;Leste;Não;50.0;Alvenaria com revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
93;1;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;4;Casa;Escuro;Norte;Não;44.0;Alvenaria sem revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
94;1;0;1;Rede geral de distribuicao;Asfaltada ou Pavimentada;3;Casa;Médio;Norte;Sim;;Alvenaria com revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
95;1;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;6;Casa;Médio;Leste;Sim;42.0;Alvenaria sem revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
96;1;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;3;Casa;Claro;Leste;Sim;24.0;Alvenaria com revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
97;1;1;1;Rede geral de distribuicao;Asfaltada ou Pavimentada;2;Casa;Claro;Sul;Sim;;Alvenaria com revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
98;1;0;0;Rede geral de distribuicao;Terra ou Cascalho;3;Casa;Claro;Leste;Sim;;Alvenaria sem revestimento externo;Não sabe/não responde;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
99;1;1;0;Rede geral de distribuicao;Terra ou Cascalho;4;Casa;Claro;Não foi possível obter a informação;Sim;44.0;Alvenaria com revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
100;1;0;0;Rede geral de distribuicao;Terra ou Cascalho;1;Casa;Médio;Não foi possível obter a informação;Sim;64.0;Alvenaria sem revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
101;2;1;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;5;Casa;Claro;Leste;Sim;;Alvenaria sem revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
102;1;0;1;Rede geral de distribuicao;Asfaltada ou Pavimentada;7;Casa;Claro;Norte;Sim;72.0;Alvenaria com revestimento externo;Não sabe/não responde;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
103;2;1;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;4;Casa;Claro;Norte;Sim;;Alvenaria sem revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Tem outra(s) atividade(s)
104;1;1;0;Rede geral de distribuicao;Terra ou Cascalho;5;Casa;Médio;Leste;Sim;;Alvenaria com revestimento externo;Não sabe/não responde;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
105;1;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;5;Casa;Claro;Norte;Sim;64.0;Alvenaria com revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
106;1;0;3;Rede geral de distribuicao;Asfaltada ou Pavimentada;3;Casa;Médio;Norte;Sim;80.0;Alvenaria com revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
107;1;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;2;Apartamento;Claro;Leste;Não;20.0;Alvenaria com revestimento externo;;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
108;3;1;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;3;Casa;Claro;Leste;Sim;;Alvenaria com revestimento externo;Telha de barro;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
